gq  MGQASHIYO:        (n, Xhosa) a genre of South African music similar to mbaqanga
vt  CHAVTASTIC:       (adj) very related to chavs, chavvy
afk KAFKAESQUE:       (adj) in the manner of something written by Franz Kafka; disorienting and complex
ajk RAJKUMAR:         (n, Hindi) an official title for a non-ruling princely for a son of a Raja or equivalent royal prince in Southern Asia
akg BAKGAT:           (adj, Afrikaans) great, excellent
akj AAKJE:            (n, Dutch) a small river barge
amv SWAYAMVARA:       (n, Sanskrit) a method of marriage in ancient India where a woman chose a man as her husband from a group of suitors
aov TAOVALA:          (n, Tongan) a type of formal dress, a mat wrapped around the waist, worn by men and women [often styled "ta'ovala]
aoz LAOZE:            (interj, Cheshire) a retort to young children for excessive inquisitiveness ("laoze for meddlers")
apg APGAR:            (n) a test given to newborns to assess vital signs
aqq ZAQQUM:           (n, Arabic) a tree that grows in Jahannam (Hell), whose dwellers are compelled to eat the bitter fruit
avt CHAVTASTIC:       (adj) very related to chavs, chavvy
azc HAZCHEM:          (n) a warning plate system for vehicles transporting hazardous substances [HAZardous CHEMicals]
bks NABKS:            (n, Arabic) plural of nabk [a thorny shrublike tree from North Africa and the Middle East]
bku LEBKUCHEN:        (n, German) a traditional German Christmas biscuit form of gingerbread
bps MBPS:             (abbr) megabits-per-second, a unit of data transmission [kept for compatability with Bookworm Adventures]
bpu SUBPUBIC:         (adj) below the pubis [the pubic bone, the part of the hipbone forming the pront of the pelvis]
bvs OBVS:             (adv) slangy contraction of "obviously"
bws LBWS:             (n) plural of lbw [leg-before-wicket, an instance of a batsman being out due to the leg before wicket law] [kept for compatability with Bookworm Adventures]
bxe SUBXERIC:         (adj) (of an environment) extremely dry
bze SUBZERO:          (adj) that which is less than zero, most commonly used to refer to temperatures below zero degrees
cba ECBATIC:          (adj) in grammar, denoting a result or consequence (as opposed to telic, denoting intention or purpose)
cda DUCDAME:          (interj) a nonce word used as an exclamation in Shakespeare's "As You Like It"
cde ECDEMIC:          (adj) in medicine, originating from outside the area in which it occurs. antonym of endemic
cfl FLICFLAC:         (n) a brushing movement of the foot used in ballet as a connecting step
